,Date,Name,Price,RSI,MarketCap,Volume,URL
191,20200820,noia-network,0.11268800000000001,59.41666324400864,"$35,451,843 USD","$594,966 USD",https://coinmarketcap.com/currencies/noia-network/historical-data/?start=20200501&end=20200820
182,20200820,thekey,0.0005690000000000001,59.520727818107204,"$3,759,276 USD","$63,811.89 USD",https://coinmarketcap.com/currencies/thekey/historical-data/?start=20200501&end=20200820
71,20200820,jarvis,0.0038840000000000003,59.57446899908493,"$390,193 USD","$56,136.00 USD",https://coinmarketcap.com/currencies/jarvis/historical-data/?start=20200501&end=20200820
123,20200820,chrono-tech,2.75,59.750870217242216,"$1,941,382 USD","$118,827 USD",https://coinmarketcap.com/currencies/chrono-tech/historical-data/?start=20200501&end=20200820
111,20200820,neutrino-dollar,1.01,59.81087314877702,"$21,661,647 USD","$1,380,181 USD",https://coinmarketcap.com/currencies/neutrino-dollar/historical-data/?start=20200501&end=20200820
12,20200820,aion,0.130787,59.887665187760966,"$60,700,762 USD","$2,698,373 USD",https://coinmarketcap.com/currencies/aion/historical-data/?start=20200501&end=20200820
152,20200820,rsk-smart-bitcoin,11847.8,60.31566260076185,"$3,209,789 USD","$65,954.27 USD",https://coinmarketcap.com/currencies/rsk-smart-bitcoin/historical-data/?start=20200501&end=20200820
170,20200820,chiliz,0.017865,60.32934528159634,"$84,925,613 USD","$17,592,945 USD",https://coinmarketcap.com/currencies/chiliz/historical-data/?start=20200501&end=20200820
177,20200820,binance-coin,23.09,60.53483696338903,"$3,346,038,359 USD","$252,220,020 USD",https://coinmarketcap.com/currencies/binance-coin/historical-data/?start=20200501&end=20200820
179,20200820,eos-force,0.0034170000000000003,60.56898541761702,"$3,136,433 USD","$256,553 USD",https://coinmarketcap.com/currencies/eos-force/historical-data/?start=20200501&end=20200820
127,20200820,bitcoin,11878.37,60.57788575296735,"$219,122,647,801 USD","$20,877,228,187 USD",https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20200501&end=20200820
68,20200820,nano,1.24,60.682974826236105,"$177,706,529 USD","$13,497,143 USD",https://coinmarketcap.com/currencies/nano/historical-data/?start=20200501&end=20200820
83,20200820,harmony,0.011962,60.82977194528861,"$71,709,126 USD","$14,660,441 USD",https://coinmarketcap.com/currencies/harmony/historical-data/?start=20200501&end=20200820
19,20200820,litecoin,62.97,60.943993933603444,"$4,082,021,987 USD","$2,737,242,412 USD",https://coinmarketcap.com/currencies/litecoin/historical-data/?start=20200501&end=20200820
139,20200820,phantasma,0.14718900000000001,61.309236605108694,"$8,736,101 USD","$323,397 USD",https://coinmarketcap.com/currencies/phantasma/historical-data/?start=20200501&end=20200820
65,20200820,decentraland,0.091139,61.486442283478915,"$128,653,163 USD","$20,888,347 USD",https://coinmarketcap.com/currencies/decentraland/historical-data/?start=20200501&end=20200820
74,20200820,blockport,0.026954000000000002,61.59675025891498,"$1,702,117 USD","$33,125.73 USD",https://coinmarketcap.com/currencies/blockport/historical-data/?start=20200501&end=20200820
145,20200820,amber,0.037047000000000004,62.148678028626925,"$3,989,480 USD","$1,931,948 USD",https://coinmarketcap.com/currencies/amber/historical-data/?start=20200501&end=20200820
63,20200820,aergo,0.06325,62.23687379667231,"$16,513,579 USD","$2,065,158 USD",https://coinmarketcap.com/currencies/aergo/historical-data/?start=20200501&end=20200820
161,20200820,lympo,0.003019,62.50987178907972,"$2,516,443 USD","$114,540 USD",https://coinmarketcap.com/currencies/lympo/historical-data/?start=20200501&end=20200820
174,20200820,just,0.06114,62.96085538630175,"$139,396,204 USD","$315,572,252 USD",https://coinmarketcap.com/currencies/just/historical-data/?start=20200501&end=20200820
44,20200820,blockstack,0.284819,63.62466160940145,"$152,952,828 USD","$3,429,216 USD",https://coinmarketcap.com/currencies/blockstack/historical-data/?start=20200501&end=20200820
24,20200820,trias,0.001299,63.93312227511862,"$2,929,543 USD","$1,553,065 USD",https://coinmarketcap.com/currencies/trias/historical-data/?start=20200501&end=20200820
195,20200820,ethereum,416.44,63.94222046695491,"$46,658,203,553 USD","$9,914,647,695 USD",https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20200501&end=20200820
17,20200820,kusama,14.71,63.953439733337845,"$120,825,110 USD","$11,132,007 USD",https://coinmarketcap.com/currencies/kusama/historical-data/?start=20200501&end=20200820
51,20200820,lisk,1.75,64.02095625758682,"$252,442,265 USD","$28,647,205 USD",https://coinmarketcap.com/currencies/lisk/historical-data/?start=20200501&end=20200820
94,20200820,betprotocol,0.001872,65.0454586636011,"$3,291,485 USD","$338,583 USD",https://coinmarketcap.com/currencies/betprotocol/historical-data/?start=20200501&end=20200820
95,20200820,cryptoindex-com-100,0.350827,65.20316613051119,"$23,822,932 USD","$72,039.44 USD",https://coinmarketcap.com/currencies/cryptoindex-com-100/historical-data/?start=20200501&end=20200820
116,20200820,experty,0.040614,65.24691945684197,"$1,074,635 USD","$55,820.29 USD",https://coinmarketcap.com/currencies/experty/historical-data/?start=20200501&end=20200820
52,20200820,constellation,0.023009,65.73577306603235,"$27,289,444 USD","$642,724 USD",https://coinmarketcap.com/currencies/constellation/historical-data/?start=20200501&end=20200820
157,20200820,iostoken,0.007552,65.99525884476651,"$118,216,576 USD","$102,783,093 USD",https://coinmarketcap.com/currencies/iostoken/historical-data/?start=20200501&end=20200820
193,20200820,high-performance-blockchain,0.320801,66.01548538018818,"$22,479,181 USD","$1,291,586 USD",https://coinmarketcap.com/currencies/high-performance-blockchain/historical-data/?start=20200501&end=20200820
101,20200820,wanchain,0.43557399999999996,66.39802024605225,"$53,680,322 USD","$3,806,805 USD",https://coinmarketcap.com/currencies/wanchain/historical-data/?start=20200501&end=20200820
39,20200820,0x,0.6142850000000001,66.49069086639085,"$531,479,261 USD","$319,188,862 USD",https://coinmarketcap.com/currencies/0x/historical-data/?start=20200501&end=20200820
